Country Name,Country Code,Region ,Indicator Name,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Portugal,PRT,Europe & Central Asia,"Population, total",SP.POP.TOTL,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295
Paraguay,PRY,Latin America & Caribbean,"Population, total",SP.POP.TOTL,5607948,5703742,5795493,5882797,5966160,6047131,6127847,6209877,6293763,6379162,6465669
French Polynesia,PYF,East Asia & Pacific,"Population, total",SP.POP.TOTL,248536,251811,254884,257731,260361,262877,265412,268065,270862,273775,276766
Qatar,QAT,Middle East & North Africa,"Population, total",SP.POP.TOTL,668165,732096,836924,988448,1178955,1388962,1591151,1765513,1905437,2015624,2101288
Romania,ROU,Europe & Central Asia,"Population, total",SP.POP.TOTL,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693
Russian Federation,RUS,Europe & Central Asia,"Population, total",SP.POP.TOTL,144648257,144067054,143518523,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911
Rwanda,RWA,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,8686469,8828956,9008230,9231041,9481083,9750314,10024594,10293669,10556429,10817350,11078095
Saudi Arabia,SAU,Middle East & North Africa,"Population, total",SP.POP.TOTL,23357887,24055573,24745230,25419994,26083522,26742842,27409491,28090647,28788438,29496047,30201051
Sudan,SDN,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,30365586,31176209,31990003,32809056,33637960,34470138,35297298,36114885,36918193,37712420,38515095
Senegal,SEN,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,10673320,10967016,11268994,11578430,11897230,12229703,12581624,12956791,13357003,13780108,14221041
Singapore,SGP,East Asia & Pacific,"Population, total",SP.POP.TOTL,4114800,4166700,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400,5399200
Solomon Islands,SLB,East Asia & Pacific,"Population, total",SP.POP.TOTL,446352,457841,469306,480716,492075,503410,514767,526177,537648,549162,560685
Sierra Leone,SLE,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,4647701,4870467,5071271,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859
El Salvador,SLV,Latin America & Caribbean,"Population, total",SP.POP.TOTL,5900929,5925089,5947206,5967556,5986414,6004199,6021368,6038306,6055208,6072233,6089644
San Marino,SMR,Europe & Central Asia,"Population, total",SP.POP.TOTL,28520,28891,29242,29568,29874,30160,30431,30690,30938,31172,31391
Somalia,SOM,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,8039104,8251054,8466938,8686939,8909015,9132589,9356827,9581714,9806670,10033630,10268157
Serbia,SRB,Europe & Central Asia,"Population, total",SP.POP.TOTL,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132
