Country Name,Country Code,Indicator Name,Region ,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,70.78136585,71.14534146,71.49331707,71.8295122,72.15860976,72.4842439,72.80792683,73.13014634,73.44931707,73.76273171,74.0687561
Iraq,IRQ,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,70.12356098,69.76865854,69.40790244,69.09156098,68.85946341,68.73468293,68.72795122,68.8297561,69.01578049,69.24192683,69.47168293
Iceland,ISL,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,80.96341463,80.99756098,81.50243902,81.15853659,81.45365854,81.6097561,81.75121951,81.89756098,82.35853659,82.91707317,83.11707317
Israel,ISR,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,79.64878049,80.14634146,80.15121951,80.55365854,80.50487805,80.95121951,81.40487805,81.60243902,81.65609756,81.70487805,82.05609756
Italy,ITA,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,79.98292683,80.7804878,80.78292683,81.28292683,81.43414634,81.48536585,81.63658537,82.03658537,82.18780488,82.23902439,82.2902439
Jamaica,JAM,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,70.98168293,71.21843902,71.47841463,71.75607317,72.04080488,72.32302439,72.59414634,72.84712195,73.07639024,73.2824878,73.46892683
Jordan,JOR,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,72.30460976,72.4737561,72.63890244,72.80104878,72.96119512,73.11978049,73.27834146,73.43587805,73.59187805,73.74739024,73.90141463
Japan,JPN,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,81.76,82.0302439,81.92512195,82.32195122,82.50707317,82.58756098,82.93146341,82.84268293,82.59121951,83.09609756,83.33195122
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,65.86585366,65.88780488,65.9097561,66.16097561,66.50487805,67.02195122,68.42926829,68.29536585,68.98,69.61,70.45
Kenya,KEN,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,53.34546341,53.93460976,54.69734146,55.60119512,56.59234146,57.61304878,58.61504878,59.54707317,60.37090244,61.08317073,61.68397561
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,68.25609756,68.15365854,67.95609756,67.69512195,67.84634146,68.45121951,69.10243902,69.3,69.60243902,70.00243902,70.20243902
Cambodia,KHM,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,64.96756098,66.02470732,67.04312195,67.98282927,68.82095122,69.54404878,70.14819512,70.64336585,71.05109756,71.40882927,71.74756098
Kiribati,KIR,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,65.6207561,65.94302439,66.26326829,66.58395122,66.90656098,67.23058537,67.557,67.88382927,68.20960976,68.53234146,68.84907317
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,,,,,,,,,,,
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,77.2502439,77.84658537,78.43268293,78.96926829,79.3495122,79.83268293,80.29731707,80.55121951,80.96707317,81.21341463,81.4597561
Kosovo,KSV,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,68.19512195,68.44634146,68.69512195,68.94634146,69.19756098,69.39756098,69.64878049,69.9,70.14878049,70.49756098,70.79756098
Kuwait,KWT,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,73.58656098,73.66221951,73.73831707,73.81682927,73.89870732,73.98292683,74.07,74.16192683,74.2582439,74.359,74.4627561
Lao PDR,LAO,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,63.43504878,63.97853659,64.50046341,65.00382927,65.49158537,65.96878049,66.43639024,66.89843902,67.35495122,67.80592683,68.24941463
Lebanon,LBN,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,75.96626829,76.52165854,77.07158537,77.59673171,78.08331707,78.52241463,78.91007317,79.25278049,79.55892683,79.84636585,80.12887805
Liberia,LBR,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,53.32865854,54.0962439,55.06617073,56.14039024,57.18821951,58.1074878,58.85919512,59.43431707,59.85987805,60.20639024,60.53187805
Libya,LBY,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,72.95965854,73.27473171,73.57629268,73.85841463,74.12065854,74.36307317,74.58568293,74.7924878,74.98746341,75.17604878,75.36168293
St. Lucia,LCA,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,72.26163415,72.62892683,73.00792683,73.374,73.70692683,73.99443902,74.22814634,74.41102439,74.55295122,74.67417073,74.79195122
Liechtenstein,LIE,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,79.96097561,81.77073171,80.66829268,80.94878049,81.29512195,82.68292683,81.5,81.84146341,81.79268293,82.38292683,82.38292683
Sri Lanka,LKA,"Life expectancy at birth, total (years)",South Asia,SP.DYN.LE00.IN,73.0942439,73.43402439,73.60073171,73.63602439,73.62002439,73.61995122,73.66119512,73.75526829,73.89929268,74.06804878,74.24029268
Lesotho,LSO,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,43.8247561,43.53346341,43.65773171,44.14834146,44.88221951,45.7392439,46.63458537,47.48341463,48.2197561,48.836,49.33146341
Lithuania,LTU,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,72.06097561,71.96097561,71.25365854,71.05609756,70.9,71.81219512,72.91463415,73.26829268,73.56341463,73.86341463,74.16341463
Luxembourg,LUX,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,77.72682927,79.12195122,79.43170732,79.28780488,79.38292683,80.53902439,80.63658537,80.63170732,80.98780488,81.39268293,81.79756098
Latvia,LVA,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,71.26585366,72.02682927,71.35609756,70.86585366,71.0195122,72.4195122,73.0804878,73.48292683,73.57560976,73.77804878,73.9804878
